DATE,M1V
1996-10-01,7.623
1997-01-01,7.761
1997-04-01,8.002
1997-07-01,8.102
1997-10-01,8.196
1998-01-01,8.238
1998-04-01,8.326
1998-07-01,8.469
1998-10-01,8.511
1999-01-01,8.578
1999-04-01,8.647
1999-07-01,8.82
1999-10-01,8.902
2000-01-01,8.989
2000-04-01,9.251
2000-07-01,9.37
2000-10-01,9.546
2001-01-01,9.499
2001-04-01,9.459
2001-07-01,9.098
2001-10-01,9.086
2002-01-01,9.05
2002-04-01,9.15
2002-07-01,9.199
2002-10-01,9.132
2003-01-01,9.048
2003-04-01,8.932
2003-07-01,8.941
2003-10-01,9.048
2004-01-01,9.042
2004-04-01,9.065
2004-07-01,9.098
2004-10-01,9.138
2005-01-01,9.321
2005-04-01,9.445
2005-07-01,9.557
2005-10-01,9.686
2006-01-01,9.852
2006-04-01,9.957
2006-07-01,10.126
2006-10-01,10.254
2007-01-01,10.399
2007-04-01,10.469
2007-07-01,10.595
2007-10-01,10.703
2008-01-01,10.639
2008-04-01,10.645
2008-07-01,10.418
2008-10-01,9.548
2009-01-01,9.155
2009-04-01,8.827
2009-07-01,8.691
2009-10-01,8.698
2010-01-01,8.708
2010-04-01,8.742
2010-07-01,8.671
2010-10-01,8.434
2011-01-01,8.205
2011-04-01,8.044
2011-07-01,7.533
2011-10-01,7.339
2012-01-01,7.264
2012-04-01,7.183
2012-07-01,6.939
2012-10-01,6.728
2013-01-01,6.722
2013-04-01,6.636
2013-07-01,6.607
2013-10-01,6.47
2014-01-01,6.294
2014-04-01,6.252
2014-07-01,6.256
2014-10-01,6.144
2015-01-01,6.036
2015-04-01,6.068
2015-07-01,6.026
2015-10-01,5.973
2016-01-01,5.895
2016-04-01,5.767
2016-07-01,5.695
2016-10-01,5.672
2017-01-01,5.608
2017-04-01,5.517
2017-07-01,5.483
2017-10-01,5.501
2018-01-01,5.531
2018-04-01,5.599
2018-07-01,5.606
2018-10-01,5.577
2019-01-01,5.611
2019-04-01,5.598
2019-07-01,5.561
2019-10-01,5.47
2020-01-01,5.287
2020-04-01,1.567
2020-07-01,1.261
2020-10-01,1.233
2021-01-01,1.215
2021-04-01,1.201
2021-07-01,1.195
2021-10-01,1.202
2022-01-01,1.203
2022-04-01,1.224
2022-07-01,1.258
2022-10-01,1.309
